Date,BP,CVX,MRO,NRG,UAL,VLO,XLE,XOM
2012-07-06,0.3388663159684343,0.41624958638833254,0.4702530115241332,0.2599757446055084,0.16538740533599386,0.06070602074565648,0.3134534382795404,0.5701948745578412
2012-07-13,0.3787890344009702,0.4541659076365915,0.5405826224567076,0.2737274500629336,0.14033306935072734,0.06520838214642372,0.36669422306194255,0.5758973344812991
2012-07-20,0.35447673883982744,0.4484934694125803,0.5278213209256151,0.3070964644393723,0.09905866189377774,0.069710743547191,0.3732389009636379,0.5814216282726653
2012-07-27,0.32990922355755725,0.4582460983930575,0.5116566069308552,0.3404654788158111,0.08399709868228247,0.0830318316887231,0.3700550267788878,0.5700166866410538
2012-08-03,0.38800141948416,0.491883121939812,0.5347691271441437,0.37383449319224976,0.0800868744337799,0.0946412727134276,0.4305481259351214,0.6000110317697976
2012-08-10,0.4140626467572669,0.49874996604298316,0.5578816473574324,0.37768183541742756,0.08587980675569548,0.09583196651846629,0.43691595596126565,0.6300053768985415
2012-08-17,0.40112055938385127,0.48741435990709914,0.5724008013673394,0.38537594125627356,0.10036206514919246,0.09868552697657768,0.41852012276913,0.6056121166127778
2012-08-24,0.39232002021623236,0.4961416452068871,0.5598455666373277,0.38537594125627356,0.08631426002524198,0.1100722560861048,0.40543078737990035,0.6036392728042078
2012-08-31,0.37342511613737484,0.504868930506675,0.5889509750992754,0.424546358932778,0.10441708301711325,0.11524121615477098,0.42984040780634225,0.635745578806942
2012-09-07,0.4365811091520072,0.540280083307716,0.6190552942184877,0.40601042349347877,0.11194785738173166,0.1255041771728098,0.4894491042715323,0.6759238987389841
2012-09-14,0.4280399479230673,0.5532205455284575,0.6491596133377,0.39481884252239124,0.11440984130862616,0.12063484090390955,0.4781287375776766,0.6811247551563607
2012-09-21,0.42156899542534065,0.5467002274304168,0.6386017841425471,0.3983162405064316,0.10137582323673724,0.11539098938603423,0.4577873940270287,0.6861479355972947
2012-09-28,0.4094033639907041,0.5461987991011793,0.6334654339972161,0.4345139065418973,0.12237506894279107,0.1241557347336942,0.4630976888638547,0.6936808000978395
2012-10-05,0.3977556494947966,0.5051698247343867,0.618056607442584,0.4707115725773631,0.1093410508709022,0.09816119016056477,0.44906178966375476,0.6748477347816143
2012-10-12,0.43425155895770706,0.5211200110657991,0.6731287995865232,0.4574217534011748,0.11918898657848012,0.10190677767228656,0.4854843884337938,0.7162810710210264
2012-10-19,0.38869624304679473,0.48410411387040864,0.6437380063556719,0.42174869513461005,0.11115133317008932,0.09329186355881944,0.42969534477925375,0.6615741891093688
2012-10-26,0.3762721638010894,0.489119849139383,0.648588875782945,0.39726687067222693,0.10311367976169847,0.09531448371529569,0.43644661398887696,0.6825602576658928
2012-11-02,0.3638480845553843,0.4330439543969643,0.6340361715519713,0.367711857639967,0.1284576319503182,0.09988411884719062,0.388830808332995,0.6013072647210406
2012-11-09,0.36388233513679624,0.3904101363553708,0.6531544563904694,0.33154076915985214,0.10354814751350341,0.10145730330401798,0.37248484268970095,0.5942994331665802
